year country 	pop       so       	gdpppp 	sopc  	oe
1971	95	105697	1728.22	7510	0.01635	1000					
1972	95	107188	1784.58	8019	0.01665	1000					
1973	95	108079	1980.07	8539	0.01832	1000					
1974	95	110162	2066.5	8295	0.01876	1000					
1975	95	111940	1944.21	8381	0.01737	1000					
1976	95	112771	1838.6	8678	0.0163	1000					
1977	95	113863	2014.78	8996	0.01769	1000					
1978	95	114898	1852.46	9340	0.01612	1000					
1979	95	115870	1949.13	9756	0.01682	1000					
1980	95	116782	1997.31	10072	0.0171	1000					
1981	95	117648	1889.77	10380	0.01606	1000					
1982	95	118449	1656.8	10635	0.01399	1000					
1983	95	119259	1482.24	10841	0.01243	1000					
1984	95	120018	1584.11	11240	0.0132	1000					
1985	95	120754	1490.41	11771	0.01234	1000					
1986	95	121492	1464.63	11996	0.01206	1000					
1987	95	122091	1417.24	12430	0.01161	1000					
1988	95	122613	1500.14	13156	0.01223	1000					
1989	95	123116	1545.43	13706	0.01255	1000					
1990	95	123537	1578.61	14331	0.01278	1000					
1960	116	7048	122.75	5143	0.01742	1000					
1961	116	7087	114.9	5388	0.01621	1000					
1962	116	7130	119.62	5481	0.01678	1000					
1963	116	7172	132.64	5688	0.01849	1000					
1964	116	7215	128.86	5978	0.01786	1000					
1965	116	7255	121.48	6144	0.01674	1000					
1966	116	7308	118.08	6437	0.01616	1000					
1967	116	7338	111.11	6596	0.01514	1000					
1968	116	7362	111.78	6847	0.01518	1000					
1969	116	7384	106.3	7162	0.0144	1000					
1970	116	7426	117.16	7510	0.01578	1000					
1971	116	7460	114.54	7851	0.01535	1000					
1972	116	7510	120.45	8286	0.01604	1000					
1973	116	7553	122.68	8669	0.01624	1000					
1974	116	7564	126.3	8974	0.0167	1000					
1975	116	7556	116.07	8936	0.01536	1000					
1976	116	7552	115.16	9361	0.01525	1000					
1977	116	7559	110.75	9782	0.01465	1000					
1978	116	7553	112.82	9753	0.01494	1000					
1979	116	7550	122.45	10217	0.01622	1000					
1980	116	7553	113.29	10509	0.015	1000					
1981	116	7565	126.15	10407	0.01668	1000					
1982	116	7574	116.54	10484	0.01539	1000					
1983	116	7552	100.57	10728	0.01332	1000					
1984	116	7552	108.62	10877	0.01438	1000					
1985	116	7555	106.23	11131	0.01406	1000					
1986	116	7565	96.95	11263	0.01282	1000					
1987	116	7573	98.26	11462	0.01298	1000					
1988	116	7595	88.47	11906	0.01165	1000					
1989	116	7618	86.71	12321	0.01138	1000					
1990	116	7712	93.7	12695	0.01215	1000					
1960	117	9119	302.06	5495	0.03312	1000					
1961	117	9166	297.4	5752	0.03245	1000					
1962	117	9218	305.8	6012	0.03317	1000					
1963	117	9283	379.56	6205	0.04089	1000					
1964	117	9367	374.25	6579	0.03995	1000					
1965	117	9448	371.35	6749	0.0393	1000					
1966	117	9508	347.37	6911	0.03653	1000					
1967	117	9557	337.51	7129	0.03532	1000					
1968	117	9590	372.27	7384	0.03882	1000					
1969	117	9613	380.32	7828	0.03956	1000					
1970	117	9638	390.66	8331	0.04053	1000					
1971	117	9673	354.14	8574	0.03661	1000					
1972	117	9709	384.31	8957	0.03958	1000					
1973	117	9738	388.65	9485	0.03991	1000					
1974	117	9768	387.92	9871	0.03971	1000					
1975	117	9795	335.89	9633	0.03429	1000					
1976	117	9811	330.35	10156	0.03367	1000					
1977	117	9822	377.23	10204	0.03841	1000					
1978	117	9830	344.37	10465	0.03503	1000					
1979	117	9837	383.58	10679	0.03899	1000					
1980	117	9847	409.86	11109	0.04162	1000					
1981	117	9852	378.09	10829	0.03838	1000					
1982	117	9856	341.35	10986	0.03463	1000					
1983	117	9856	260.44	10972	0.02642	1000					
1984	117	9853	274.04	11236	0.02781	1000					
1985	117	9858	261.2	11285	0.0265	1000					
1986	117	9862	271.63	11461	0.02754	1000					
1987	117	9870	276.49	11727	0.02801	1000					
1988	117	9902	290.01	12319	0.02929	1000					
1989	117	9938	313.67	12804	0.03156	1000					
1990	117	9967	331.85	13232	0.03329	1000					
1960	121	4581	77.93	6760	0.01701	1000					
1961	121	4610	79.61	7142	0.01727	1000					
1962	121	4647	89.09	7512	0.01917	1000					
1963	121	4684	97.51	7404	0.02082	1000					
1964	121	4720	97.41	8127	0.02064	1000					
1965	121	4758	93.12	8436	0.01957	1000					
1966	121	4798	101.55	8562	0.02117	1000					
1967	121	4839	105.01	8778	0.0217	1000					
1968	121	4867	106.82	9031	0.02195	1000					
1969	121	4891	105.31	9595	0.02153	1000					
1970	121	4929	106.6	9670	0.02163	1000					
1971	121	4963	88.89	9860	0.01791	1000					
1972	121	4992	82.96	10344	0.01662	1000					
1973	121	5022	90.9	10613	0.0181	1000					
1974	121	5045	101.07	10428	0.02003	1000					
1975	121	5060	98.63	10236	0.01949	1000					
1976	121	5073	93.27	10921	0.01839	1000					
1977	121	5088	111.06	11047	0.02183	1000					
1978	121	5104	112.79	11137	0.0221	1000					
1979	121	5117	137.39	11484	0.02685	1000					
1980	121	5123	163.87	11342	0.03199	1000					
1981	121	5122	178.86	11153	0.03492	1000					
1982	121	5118	151.49	11526	0.0296	1000					
1983	121	5114	130.3	11828	0.02548	1000					
1984	121	5112	142.75	12419	0.02792	1000					
1985	121	5114	172.71	12969	0.03377	1000					
1986	121	5121	164.96	13474	0.03221	1000					
1987	121	5127	161.86	13449	0.03157	1000					
1988	121	5130	145.11	13571	0.02829	1000					
1989	121	5133	150.82	13663	0.02938	1000					
1990	121	5141	138.47	13909	0.02693	1000					
1960	122	4430	86.73	5291	0.01958	1000					
1961	122	4461	87.29	5674	0.01957	1000					
1962	122	4491	88.45	5743	0.01969	1000					
1963	122	4523	89	5829	0.01968	1000					
1964	122	4549	91.52	6145	0.02012	1000					
1965	122	4564	89.88	6514	0.01969	1000					
1966	122	4581	83.37	6596	0.0182	1000					
1967	122	4606	92.45	6657	0.02007	1000					
1968	122	4627	101.38	6741	0.02191	1000					
1969	122	4624	110.36	7412	0.02387	1000					
1970	122	4606	136.84	8108	0.02971	1000					
1971	122	4616	125.04	8224	0.02709	1000					
1972	122	4640	120.58	8751	0.02599	1000					
1973	122	4666	124.75	9300	0.02674	1000					
1974	122	4691	140.68	9614	0.02999	1000					
1975	122	4711	140.34	9609	0.02979	1000					
1976	122	4726	132.15	9431	0.02796	1000					
1977	122	4739	159.26	9387	0.03361	1000					
1978	122	4753	147.49	9505	0.03103	1000					
1979	122	4765	165.46	10262	0.03472	1000					
1980	122	4780	173.83	10851	0.03637	1000					
1981	122	4800	175.4	10903	0.03654	1000					
1982	122	4827	145.23	11228	0.03009	1000					
1983	122	4856	133.17	11477	0.02742	1000					
1984	122	4882	113.57	11746	0.02326	1000					
1985	122	4902	129.64	12051	0.02645	1000					
1986	122	4918	133.76	12261	0.0272	1000					
1987	122	4933	129.2	12730	0.02619	1000					
1988	122	4951	118.92	13377	0.02402	1000					
1989	122	4962	121.47	14227	0.02448	1000					
1990	122	4986	126.57	14059	0.02539	1000					
1960	123	45685	942.23	5823	0.02062	1000					
1961	123	46162	935.38	6087	0.02026	1000					
1962	123	47000	937.23	6401	0.01994	1000					
1963	123	47817	1012.2	6651	0.02117	1000					
1964	123	48310	1048.34	7048	0.0217	1000					
1965	123	48756	1053.55	7304	0.02161	1000					
1966	123	49162	1052.18	7645	0.0214	1000					
1967	123	49548	1100.53	7946	0.02221	1000					
1968	123	49914	1070.63	8228	0.02145	1000					
1969	123	50320	1079.77	8768	0.02146	1000					
1970	123	50772	1155.05	9200	0.02275	1000					
1971	123	51251	1124.11	9538	0.02193	1000					
1972	123	51701	1104.51	9837	0.02136	1000					
1973	123	52118	1170.81	10316	0.02246	1000					
1974	123	52460	1240.72	10510	0.02365	1000					
1975	123	52699	1102.03	10297	0.02091	1000					
1976	123	52909	1141.58	10751	0.02158	1000					
1977	123	53145	1203.16	11053	0.02264	1000					
1978	123	53376	1147.93	11334	0.02151	1000					
1979	123	53606	1277.57	11664	0.02383	1000					
1980	123	53880	1295.25	11756	0.02404	1000					
1981	123	54182	1138.38	11746	0.02101	1000					
1982	123	54480	903	11970	0.01657	1000					
1983	123	54728	735.09	11936	0.01343	1000					
1984	123	54947	769.77	12034	0.01401	1000					
1985	123	55170	691.9	12206	0.01254	1000					
1986	123	55394	665.03	12507	0.01201	1000					
1987	123	55630	623.67	12744	0.01121	1000					
1988	123	55884	587.07	13259	0.01051	1000					
1989	123	56436	625.21	13642	0.01108	1000					
1990	123	56735	626.35	13904	0.01104	1000					
1960	125	55435	2087.99	6570	0.03767	1000					
1961	125	56175	2147.78	6817	0.03823	1000					
1962	125	56836	2182.4	7023	0.0384	1000					
1963	125	57388	2292.61	7130	0.03995	1000					
1964	125	57970	2398.56	7560	0.04138	1000					
1965	125	58619	2308.12	7912	0.03937	1000					
1966	125	59147	2202.46	8002	0.03724	1000					
1967	125	59286	2083.27	7915	0.03514	1000					
1968	125	59499	2137.26	8389	0.03592	1000					
1969	125	60069	2190.66	8974	0.03647	1000					
1970	125	60651	2302.7	9425	0.03797	1000					
1971	125	61303	2263.92	9585	0.03693	1000					
1972	125	61675	2208.8	9906	0.03581	1000					
1973	125	61976	2235.48	10315	0.03607	1000					
1974	125	62059	2209.39	10211	0.0356	1000					
1975	125	61829	2119.36	10094	0.03428	1000					
1976	125	61527	2184.26	10712	0.0355	1000					
1977	125	61396	2111.12	11032	0.03439	1000					
1978	125	61323	2003.06	11375	0.03266	1000					
1979	125	61364	2204.72	11886	0.03593	1000					
1980	125	61563	2278.15	11920	0.03701	1000					
1981	125	61678	2191.73	11806	0.03554	1000					
1982	125	61635	2084.56	11666	0.03382	1000					
1983	125	61422	1894.48	11956	0.03084	1000					
1984	125	61176	1864.27	12302	0.03047	1000					
1985	125	61058	1849.94	12535	0.0303	1000					
1986	125	61108	1809.49	12839	0.02961	1000					
1987	125	61200	1660.73	13017	0.02714	1000					
1988	125	61474	1614.75	13456	0.02627	1000					
1989	125	61990	1545.11	13837	0.02493	1000					
1990	125	63230	1575.76	14341	0.02492	1000					
1960	129	2832	43.54	3311	0.01537	1000					
1961	129	2818	43.49	3479	0.01543	1000					
1962	129	2830	36.52	3615	0.0129	1000					
1963	129	2850	38.02	3769	0.01334	1000					
1964	129	2864	35.48	3927	0.01239	1000					
1965	129	2876	35.47	4000	0.01233	1000					
1966	129	2884	37.33	4005	0.01294	1000					
1967	129	2900	47.81	4162	0.01649	1000					
1968	129	2913	48.33	4510	0.01659	1000					
1969	129	2926	51.29	4812	0.01753	1000					
1970	129	2950	53.85	5015	0.01825	1000					
1971	129	2978	50.98	5130	0.01712	1000					
1972	129	3024	46.03	5391	0.01522	1000					
1973	129	3073	44.27	5595	0.01441	1000					
1974	129	3124	46.89	5711	0.01501	1000					
1975	129	3177	40.34	5806	0.0127	1000					
1976	129	3228	29.92	5836	0.00927	1000					
1977	129	3272	41.91	6258	0.01281	1000					
1978	129	3314	42.75	6641	0.0129	1000					
1979	129	3368	56.21	6801	0.01669	1000					
1980	129	3401	56.57	6823	0.01663	1000					
1981	129	3443	37.99	6985	0.01103	1000					
1982	129	3480	39.83	7033	0.01145	1000					
1983	129	3504	43.89	6907	0.01253	1000					
1984	129	3529	45.52	7122	0.0129	1000					
1985	129	3540	49.56	7275	0.014	1000					
1986	129	3541	56.99	7238	0.01609	1000					
1987	129	3543	58.96	7541	0.01664	1000					
1988	129	3538	64.8	7899	0.01832	1000					
1989	129	3515	65.79	8524	0.01872	1000					
1990	129	3503	63.44	9274	0.01811	1000					
1960	130	50200	440.35	4564	0.00877	1000					
1961	130	50522	466.88	4919	0.00924	1000					
1962	130	50844	507.96	5208	0.00999	1000					
1963	130	51198	557.27	5498	0.01088	1000					
1964	130	51600	575.5	5579	0.01115	1000					
1965	130	51987	635	5691	0.01221	1000					
1966	130	52330	695.98	6009	0.0133	1000					
1967	130	52668	759.72	6418	0.01442	1000					
1968	130	52985	786.86	6776	0.01485	1000					
1969	130	53318	801.34	7174	0.01503	1000					
1970	130	53822	879.54	7568	0.01634	1000					
1971	130	54074	851.45	7603	0.01575	1000					
1972	130	54381	831.97	7731	0.0153	1000					
1973	130	54751	876.48	8275	0.01601	1000					
1974	130	55111	906.76	8669	0.01645	1000					
1975	130	55441	747.81	8282	0.01349	1000					
1976	130	55718	732.86	8809	0.01315	1000					
1977	130	55955	806.73	9016	0.01442	1000					
1978	130	56155	773.03	9284	0.01377	1000					
1979	130	56318	835.11	9831	0.01483	1000					
1980	130	56434	811.76	10323	0.01438	1000					
1981	130	56508	806.13	10285	0.01427	1000					
1982	130	56640	700.9	10262	0.01237	1000					
1983	130	56836	552.98	10297	0.00973	1000					
1984	130	57005	572.31	10561	0.01004	1000					
1985	130	57141	558.35	10808	0.00977	1000					
1986	130	57246	564	11115	0.00985	1000					
1987	130	57345	562.58	11455	0.00981	1000					
1988	130	57452	539.35	11918	0.00939	1000					
1989	130	57541	555.22	12247	0.00965	1000					
1990	130	57661	579.26	12488	0.01005	1000					
1960	131	315	3.25	7921	0.01032	1000					
1961	131	319	2.77	8353	0.00868	1000					
1962	131	323	2.7	8443	0.00836	1000					
1963	131	326	2.98	7921	0.00914	1000					
1964	131	330	1.99	7848	0.00603	1000					
1965	131	333	1.53	8569	0.00459	1000					
1966	131	335	1.06	8447	0.00316	1000					
1967	131	335	0.93	7837	0.00278	1000					
1968	131	337	0.88	8150	0.00261	1000					
1969	131	339	1.07	9023	0.00316	1000					
1970	131	340	1.68	9782	0.00494	1000					
1971	131	345	2.97	9965	0.00861	1000					
1972	131	348	3.69	10506	0.0106	1000					
1973	131	353	3.65	11224	0.01034	1000					
1974	131	357	7.27	11433	0.02036	1000					
1975	131	361	6.41	10705	0.01776	1000					
1976	131	362	7.38	10940	0.02039	1000					
1977	131	362	6.21	10992	0.01715	1000					
1978	131	362	5.61	11546	0.0155	1000					
1979	131	364	4.41	11697	0.01212	1000					
1980	131	365	4.97	11893	0.01362	1000					
1981	131	366	4.04	11842	0.01104	1000					
1982	131	366	3.68	11962	0.01005	1000					
1983	131	366	1.98	12225	0.00541	1000					
1984	131	366	2.18	12900	0.00596	1000					
1985	131	367	2.28	13175	0.00621	1000					
1986	131	370	2.05	13848	0.00554	1000					
1987	131	372	2.16	14234	0.00581	1000					
1988	131	373	1.8	15034	0.00483	1000					
1989	131	377	2.2	15919	0.00584	1000					
1990	131	382	2.22	16280	0.00581	1000					
1960	133	11487	420.53	6077	0.03661	1000					
1961	133	11639	411.37	6225	0.03534	1000					
1962	133	11806	432.66	6402	0.03665	1000					
1963	133	11966	451.2	6577	0.03771	1000					
1964	133	12128	452.11	7117	0.03728	1000					
1965	133	12294	431	7396	0.03506	1000					
1966	133	12456	417.84	7528	0.03355	1000					
1967	133	12598	411.95	7853	0.0327	1000					
1968	133	12730	413.17	8301	0.03246	1000					
1969	133	12879	441.15	8749	0.03425	1000					
1970	133	13039	472.19	9199	0.03621	1000					
1971	133	13195	426.42	9466	0.03232	1000					
1972	133	13329	437.9	9683	0.03285	1000					
1973	133	13439	460.11	10064	0.03424	1000					
1974	133	13545	448.74	10375	0.03313	1000					
1975	133	13666	383.19	10255	0.02804	1000					
1976	133	13774	405.78	10700	0.02946	1000					
1977	133	13856	408.95	10902	0.02951	1000					
1978	133	13942	365.08	11108	0.02619	1000					
1979	133	14038	405.21	11286	0.02887	1000					
1980	133	14150	392.34	11284	0.02773	1000					
1981	133	14247	332.35	11079	0.02333	1000					
1982	133	14313	299.85	10869	0.02095	1000					
1983	133	14367	272.79	10983	0.01899	1000					
1984	133	14424	326.39	11288	0.02263	1000					
1985	133	14492	295.68	11539	0.0204	1000					
1986	133	14572	319.38	11797	0.02192	1000					
1987	133	14665	341.58	11858	0.02329	1000					
1988	133	14760	355.46	12087	0.02408	1000					
1989	133	14849	349.59	12591	0.02354	1000					
1990	133	14952	365.99	13029	0.02448	1000					
1960	134	3581	21.29	5610	0.00595	1000					
1961	134	3610	33.87	5854	0.00938	1000					
1962	134	3639	39.34	6078	0.01081	1000					
1963	134	3667	39.18	6364	0.01068	1000					
1964	134	3694	41.66	6656	0.01128	1000					
1965	134	3723	40.44	6950	0.01086	1000					
1966	134	3753	39.41	7213	0.0105	1000					
1967	134	3785	42.24	7576	0.01116	1000					
1968	134	3819	55.35	7654	0.01449	1000					
1969	134	3851	57.62	7960	0.01496	1000					
1970	134	3877	64.17	8034	0.01655	1000					
1971	134	3903	59.04	8321	0.01513	1000					
1972	134	3933	62.56	8746	0.01591	1000					
1973	134	3961	66.09	9070	0.01669	1000					
1974	134	3985	70.55	9461	0.0177	1000					
1975	134	4007	67.23	9773	0.01678	1000					
1976	134	4026	77.62	10428	0.01928	1000					
1977	134	4043	79.88	10728	0.01976	1000					
1978	134	4059	75.29	11205	0.01855	1000					
1979	134	4073	75.9	11719	0.01863	1000					
1980	134	4091	72.87	12141	0.01781	1000					
1981	134	4100	58.99	12206	0.01439	1000					
1982	134	4115	52.38	12177	0.01273	1000					
1983	134	4133	38.29	12714	0.00926	1000					
1984	134	4140	39.56	13449	0.00956	1000					
1985	134	4153	36.44	14144	0.00877	1000					
1986	134	4169	38.03	14683	0.00912	1000					
1987	134	4187	40.85	14812	0.00976	1000					
1988	134	4209	28.99	14674	0.00689	1000					
1989	134	4227	28.54	14630	0.00675	1000					
1990	134	4242	37.17	14902	0.00876	1000					
1960	138	30455	181.36	3123	0.00596	1000					
1961	138	30746	190.2	3492	0.00619	1000					
1962	138	31067	220.85	3821	0.00711	1000					
1963	138	31394	229.1	4111	0.0073	1000					
1964	138	31722	237.19	4311	0.00748	1000					
1965	138	32056	241.97	4580	0.00755	1000					
1966	138	32394	251.87	4869	0.00778	1000					
1967	138	32735	283.38	5040	0.00866	1000					
1968	138	33080	336.8	5299	0.01018	1000					
1969	138	33428	321.24	5717	0.00961	1000					
1970	138	33779	348.69	5861	0.01032	1000					
1971	138	34190	367.59	6025	0.01075	1000					
1972	138	34448	382.88	6490	0.01111	1000					
1973	138	34810	400.76	6943	0.01151	1000					
1974	138	35147	447.31	7291	0.01273	1000					
1975	138	35515	446.87	7238	0.01258	1000					
1976	138	35937	486.63	7387	0.01354	1000					
1977	138	36367	535.49	7444	0.01472	1000					
1978	138	36778	551.27	7412	0.01499	1000					
1979	138	37108	600.51	7348	0.01618	1000					
1980	138	37386	762.55	7390	0.0204	1000					
1981	138	37756	880.32	7239	0.02332	1000					
1982	138	37980	883.19	7301	0.02325	1000					
1983	138	38172	838.42	7375	0.02196	1000					
1984	138	38342	855.98	7380	0.02232	1000					
1985	138	38574	857.12	7536	0.02222	1000					
1986	138	38605	843.07	7821	0.02184	1000					
1987	138	38716	784.99	8291	0.02028	1000					
1988	138	38809	744.13	8759	0.01917	1000					
1989	138	38888	853.06	9238	0.02194	1000					
1990	138	38959	828.36	9583	0.02126	1000					
1960	139	7480	81.14	7592	0.01085	1000					
1961	139	7520	78.23	7957	0.0104	1000					
1962	139	7562	77.27	8233	0.01022	1000					
1963	139	7604	76.32	8601	0.01004	1000					
1964	139	7661	81.69	9139	0.01066	1000					
1965	139	7734	75.91	9402	0.00982	1000					
1966	139	7808	76.18	9486	0.00976	1000					
1967	139	7868	89.86	9723	0.01142	1000					
1968	139	7914	109.63	10014	0.01385	1000					
1969	139	7968	118.41	10419	0.01486	1000					
1970	139	8043	127.64	10766	0.01587	1000					
1971	139	8098	124.91	10763	0.01542	1000					
1972	139	8122	115.53	10963	0.01422	1000					
1973	139	8137	115.25	11363	0.01416	1000					
1974	139	8161	131.16	11697	0.01607	1000					
1975	139	8193	136.13	11958	0.01662	1000					
1976	139	8222	152.48	12021	0.01855	1000					
1977	139	8252	156.32	11706	0.01894	1000					
1978	139	8276	159.47	11812	0.01927	1000					
1979	139	8294	169.87	12261	0.02048	1000					
1980	139	8310	190.59	12456	0.02294	1000					
1981	139	8320	174.33	12370	0.02095	1000					
1982	139	8325	164.47	12475	0.01976	1000					
1983	139	8331	173.54	12682	0.02083	1000					
1984	139	8337	184.25	13198	0.0221	1000					
1985	139	8350	196.03	13451	0.02348	1000					
1986	139	8370	198.94	13725	0.02377	1000					
1987	139	8399	191.6	14128	0.02281	1000					
1988	139	8436	179.53	14408	0.02128	1000					
1989	139	8498	176.18	14681	0.02073	1000					
1990	139	8559	178.8	14762	0.02089	1000					
1960	140	5362	25.92	9409	0.00483	1000					
1961	140	5434	21.86	10077	0.00402	1000					
1962	140	5574	22.35	10322	0.00401	1000					
1963	140	5694	30.47	10583	0.00535	1000					
1964	140	5789	24.94	10979	0.00431	1000					
1965	140	5856	23.3	11150	0.00398	1000					
1966	140	5918	27.13	11307	0.00458	1000					
1967	140	5992	34.89	11519	0.00582	1000					
1968	140	6068	37	11778	0.0061	1000					
1969	140	6136	36.48	12316	0.00595	1000					
1970	140	6267	37.05	12942	0.00591	1000					
1971	140	6324	33.29	13335	0.00526	1000					
1972	140	6385	28.47	13599	0.00446	1000					
1973	140	6431	35.55	13905	0.00553	1000					
1974	140	6443	39.2	14091	0.00608	1000					
1975	140	6405	27.59	12991	0.00431	1000					
1976	140	6346	23.38	12845	0.00368	1000					
1977	140	6327	26.58	13169	0.0042	1000					
1978	140	6337	23.69	13183	0.00374	1000					
1979	140	6351	28.21	13535	0.00444	1000					
1980	140	6319	31.82	14301	0.00504	1000					
1981	140	6354	31.68	14387	0.00499	1000					
1982	140	6391	25.69	14146	0.00402	1000					
1983	140	6419	25.34	14207	0.00395	1000					
1984	140	6442	25.1	14397	0.0039	1000					
1985	140	6470	22.41	14864	0.00346	1000					
1986	140	6504	24.38	15251	0.00375	1000					
1987	140	6545	23.88	15491	0.00365	1000					
1988	140	6569	22.6	15862	0.00344	1000					
1989	140	6647	17.38	16304	0.00261	1000					
1990	140	6712	17.25	16505	0.00257	1000					
1960	142	52557	3447.4	6823	0.06559	1000					
1961	142	52951	3405.84	6971	0.06432	1000					
1962	142	53412	3530.93	6978	0.06611	1000					
1963	142	53690	3451.21	7222	0.06428	1000					
1964	142	54034	3459.52	7573	0.06402	1000					
1965	142	54378	3403.41	7679	0.06259	1000					
1966	142	54650	3227.66	7789	0.05906	1000					
1967	142	54933	3256.95	7973	0.05929	1000					
1968	142	55156	3160.84	8250	0.05731	1000					
1969	142	55372	2959.85	8314	0.05345	1000					
1970	142	55632	2874.41	8537	0.05167	1000					
1971	142	55928	2979.73	8655	0.05328	1000					
1972	142	56097	2547.61	8970	0.04541	1000					
1973	142	56223	2698.75	9605	0.048	1000					
1974	142	56236	2448.48	9411	0.04354	1000					
1975	142	56226	2608.22	9312	0.04639	1000					
1976	142	56216	2470.61	9549	0.04395	1000					
1977	142	56190	2373.15	9769	0.04223	1000					
1978	142	56178	2327.38	10133	0.04143	1000					
1979	142	56242	2305.9	10438	0.041	1000					
1980	142	56330	2401.33	10167	0.04263	1000					
1981	142	56352	2172.93	10017	0.03856	1000					
1982	142	56306	2081.84	10217	0.03697	1000					
1983	142	56347	1980.12	10625	0.03514	1000					
1984	142	56460	1033.17	10892	0.0183	1000					
1985	142	56618	1743.67	11237	0.0308	1000					
1986	142	56763	1957.98	11726	0.03449	1000					
1987	142	56930	1906.91	12283	0.0335	1000					
1988	142	57065	1913.46	12969	0.03353	1000					
1989	142	57236	1870.13	13241	0.03267	1000					
1990	142	57411	1762.57	13217	0.0307	1000					
1960	145	10274	426.76	7782	0.04154	1000					
1961	145	10483	416.58	7576	0.03974	1000					
1962	145	10742	438.74	7977	0.04084	1000					
1963	145	10950	466.92	8369	0.04264	1000					
1964	145	11167	454.57	8851	0.04071	1000					
1965	145	11388	454.91	8823	0.03995	1000					
1966	145	11652	480.7	9145	0.04125	1000					
1967	145	11799	491.8	9361	0.04168	1000					
1968	145	12009	511.96	10087	0.04263	1000					
1969	145	12263	522.65	10404	0.04262	1000					
1970	145	12507	528.12	10756	0.04223	1000					
1971	145	12937	481.24	10886	0.0372	1000					
1972	145	13177	511.02	11144	0.03878	1000					
1973	145	13380	514.75	11514	0.03847	1000					
1974	145	13723	552.41	11391	0.04025	1000					
1975	145	13893	564.58	11507	0.04064	1000					
1976	145	14033	606.84	11742	0.04324	1000					
1977	145	14192	640.58	11662	0.04514	1000					
