year country 	pop       so       	gdpppp 	sopc  	oe
1960	54	17910	1099.72		7258	0.0614	1000					
1961	54	18270	1076.06		7261	0.0589	1000					
1962	54	18614	1073.68		7605	0.05768	1000					
1963	54	18963	1087.53		7876	0.05735	1000					
1964	54	19326	1142.22		8244	0.0591	1000					
1965	54	19678	1206.56		8664	0.06132	1000					
1966	54	20049	1174.17		9093	0.05857	1000					
1967	54	20411	1304.04		9231	0.06389	1000					
1968	54	20744	1328.19		9582	0.06403	1000					
1969	54	21028	1239.66		9975	0.05895	1000					
1970	54	21324	1356.98		10124	0.06364	1000					
1971	54	21592	1416.06		10599	0.06558	1000					
1972	54	21822	1478.4		11125	0.06775	1000					
1973	54	22072	1540.07		11854	0.06977	1000					
1974	54	22364	1553.33		12225	0.06946	1000					
1975	54	22697	1505.36		12287	0.06632	1000					
1976	54	22993	1433.46		12929	0.06234	1000					
1977	54	23273	1531.62		13184	0.06581	1000					
1978	54	23517	1340.82		13631	0.05701	1000					
1979	54	23747	1424.14		14114	0.05997	1000					
1980	54	24043	1512.53		14133	0.06291	1000					
1981	54	24342	1439.02		14555	0.05912	1000					
1982	54	24583	1267.14		13740	0.05155	1000					
1983	54	24787	1213.11		14105	0.04894	1000					
1984	54	24978	1363.25		14954	0.05458	1000					
1985	54	25165	1304.08		15589	0.05182	1000					
1986	54	25353	1238.74		16029	0.04886	1000					
1987	54	25625	1388.12		16602	0.05417	1000					
1988	54	25950	1417.18		17258	0.05461	1000					
1989	54	26219	1334.33		17524	0.05089	1000					
1990	54	26522	1366.41		17173	0.05152	1000					
1960	72	180673	9479.18		9895	0.05247	1000					
1961	72	183687	9246.24		9946	0.05034	1000					
1962	72	186537	9492.94		10358	0.05089	1000					
1963	72	189244	9988.73		10642	0.05278	1000					
1964	72	191889	10446.99	11072	0.05444	1000				
1965	72	194309	10822.58	11649	0.0557	1000				
1966	72	196564	11222.98	12164	0.0571	1000				
1967	72	198717	11286.46	12318	0.0568	1000				
1968	72	200706	11369.86	12723	0.05665	1000				
1969	72	202675	11711.27	12975	0.05778	1000				
1970	72	205052	12310		12963	0.06003	1000					
1971	72	207661	11483.45	13233	0.0553	1000				
1972	72	209896	12322.72	13747	0.05871	1000				
1973	72	211909	12532.49	14379	0.05914	1000				
1974	72	213854	12714.49	14078	0.05945	1000				
1975	72	215973	13275.61	13682	0.06147	1000				
1976	72	218035	14037.56	14271	0.06438	1000				
1977	72	220239	14212.02	14832	0.06453	1000				
1978	72	222585	12999.15	15440	0.0584	1000				
1979	72	225055	13805.46	15637	0.06134	1000				
1980	72	227757	13174.21	15295	0.05784	1000				
1981	72	230138	12057.16	15502	0.05239	1000				
1982	72	232520	11538.73	14897	0.04962	1000				
1983	72	234799	10473.48	15290	0.04461	1000				
1984	72	237001	11797.92	16255	0.04978	1000				
1985	72	239279	10780.63	16570	0.04505	1000				
1986	72	241625	11086.71	16848	0.04588	1000				
1987	72	243942	11573.44	17186	0.04744	1000				
1988	72	246307	11430.8		17710	0.04641	1000					
1989	72	248231	11798		18095	0.04753	1000					
1990	72	250372	12516.23	18054	0.04999	1000				
1960	95	94104	731.15	2954	0.00777	1000					
1961	95	94950	815.73	3351	0.00859	1000					
1962	95	95837	858.22	3554	0.00895	1000					
1963	95	96818	926.99	3886	0.00957	1000					
1964	95	97830	983.54	4343	0.01005	1000					
1965	95	98894	1022.08	4491	0.01034	1000					
1966	95	99792	1121.56	4924	0.01124	1000					
1967	95	100731	1275.49	5417	0.01266	1000					
1968	95	101065	1402.62	6076	0.01388	1000					
1969	95	103183	1530.82	6673	0.01484	1000					
1970	95	104345	1704.19	7307	0.01633	1000					
