no,district,landid,land,eligible,voters,turnout,cducsu1,cducsu2,spd1,spd2,dielinke1,dielinke2,greens1,greens2,pirates1,pirates2,afd1,afd2,area,population,popdensity,pop18_25,pop25_35,pop35_60,pop75_,abitur,localbusinesstax,unemployment,socialbenefits
52,Goslar - Northeim - Osterode,3,Lower Saxony,208311,149429,71.733612,41.30590447637339,37.32541876074925,41.63114254930435,37.46595373053424,4.554002235175234,5.002375710203507,5.241954372979809,6.78650061233094,1.5880451,1.4327874,,3.8366046,2299,259,113,7,9,36,12,42,282,7,79
53,Göttingen,3,Lower Saxony,222102,165814,74.656693,37.72781550411907,35.58203770489826,39.91942779258687,32.81387578853414,5.175075687215796,6.291386734533876,10.09564934203384,12.10754218582267,1.9413319,1.91359,,3.6914856,1263,289,229,9,13,36,9,52,372,6,72
54,Bremen I,4,Bremen,256547,184512,71.921326,29.91566944155394,29.9460197710718,37.48319892473118,32.79027922303157,8.230359001040583,10.02753208463406,13.73460804717308,13.79205688518904,2.6280134,2.57761,2.8919528,3.3943591,153,346,2252,8,13,35,10,36,666,10,131
55,Bremen II - Bremerhaven,4,Bremen,227276,148510,65.34346,28.32603865059592,27.74560635647431,43.28058716584741,38.18059389940071,8.979193320315131,9.953538482257088,8.299104437411623,9.808093731061881,2.6813009,2.4907413,3.6549728,4.0697598,265,315,1186,8,13,35,10,39,576,11,144
56,Prignitz - Ostprignitz-Ruppin - Havelland I,12,Brandenburg,162624,103904,63.89217,32.83319217739452,35.90333384662765,28.94883738835848,24.67469972282107,23.59774407145057,22.18201416692331,2.685170927009547,3.399291653834308,2.53407,1.8930936,,4.5821142,5115,193,38,6,10,39,11,35,149,11,122
57,Uckermark - Barnim I,12,Brandenburg,160234,100634,62.804398,38.15211558717729,36.14782280342628,23.08861816086015,22.33340620466244,25.511258620347,23.42349504143729,2.807202337182265,3.557445793668144,2.440527,1.9724944,,4.7459111,3865,193,50,6,10,39,10,34,171,13,135
58,Oberhavel - Havelland II,12,Brandenburg,250706,177378,70.751396,36.6905704202325,35.62955947186235,27.43744996561017,23.45443065092627,19.19403759203509,18.0535353877031,4.797663746349603,5.559314007374082,2.9772575,2.1953118,,6.6034122,2460,305,123,6,10,41,8,37,290,8,87
59,Märkisch-Oderland - Barnim II,12,Brandenburg,251583,175093,69.596512,33.24518969918843,31.60606077912881,19.84374018378804,21.31610058654543,32.206313216405,25.6983431662031,3.355930848177825,4.119525052400724,2.6203218,2.2662241,,6.2715244,2814,300,106,6,10,41,9,36,150,9,100
60,Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I,12,Brandenburg,191014,124176,65.00885,32.19060043808788,33.41144826697591,32.45876819997423,25.77148563329468,23.33301120989563,22.48502126014689,2.377270970235794,3.686702744491689,2.4465275,1.9230769,,4.7746749,3383,226,67,6,11,38,10,42,169,9,93
61,Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,12,Brandenburg,244812,182227,74.435486,32.04739144034638,30.97729754646677,31.64679218776581,24.54246626460404,19.70838569476532,20.46568291197243,7.080728980886477,8.912510220768603,2.9880314,2.6417601,,5.6424131,721,304,419,7,13,38,8,51,337,7,76
62,Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I,12,Brandenburg,240784,169480,70.386734,36.27979702619778,34.14385178192117,26.59782865234836,22.2917158366769,21.40901581307529,21.42435685626623,3.731413736134057,4.381047911257966,2.5554638,2.1341751,,6.2573757,3951,289,73,6,11,39,9,39,335,7,78
63,Frankfurt (Oder) - Oder-Spree,12,Brandenburg,199341,135293,67.870132,33.12957802694892,32.74448788924778,23.8674580355229,21.90135483727909,27.35396509797255,24.2895050002587,3.837596919278898,3.892293023290192,3.6786826,2.1516266,,6.3284869,2391,241,101,6,11,39,10,43,273,9,113
64,Cottbus - Spree-Neiße,12,Brandenburg,187157,125920,67.280411,35.18186149936467,35.12547649301144,23.43551461245235,21.33338627700127,19.60054002541296,22.20854510800508,2.603240152477764,3.479987293519695,2.2943139,2.0767155,,6.7939963,1812,225,125,7,11,38,10,44,255,11,116
65,Elbe-Elster - Oberspreewald-Lausitz II,12,Brandenburg,177689,118680,66.790855,39.98483316481295,38.79676440849343,22.01887428378834,19.49443882709808,22.86568924839906,21.33552409841591,2.442703067071116,2.615436467812605,3.230536,2.2126727,,5.8232222,2967,211,72,6,10,39,11,35,181,13,114
66,Altmark,15,Saxony-Anhalt,172378,107895,62.592094,41.4161916678252,41.3874600305853,17.25381157606933,18.71819824829695,29.81046387691737,24.26433106260716,2.778627369201538,3.282821261411558,2.3550675,1.8508736,,3.5460401,4716,206,44,7,10,39,10,28,174,12,121
