no,district,landid,land,eligible,voters,turnout,cducsu1,cducsu2,spd1,spd2,dielinke1,dielinke2,greens1,greens2,pirates1,pirates2,afd1,afd2,area,population,popdensity,pop18_25,pop25_35,pop35_60,pop75_,abitur,localbusinesstax,unemployment,socialbenefits
110,Krefeld I - Neuss II,5,North Rhine-Westphalia,202204,150999,74.676567,48.47780448877145,44.24002807965616,30.56179179994569,27.13130550533447,4.082808495420499,5.144404929833972,5.756991768157405,6.823223994860893,2.2331274,2.1013384,2.4059763,3.8099589,302,273,899,7,10,37,10,41,463,7,88
111,Viersen,5,North Rhine-Westphalia,227631,167490,73.579613,52.39954624156666,45.82184010985731,28.17959281151114,26.33172129679384,4.775210460325989,5.311958922920772,5.301809063227656,6.630843632455669,2.0693772,2.0681832,2.4968655,4.0635262,563,299,532,8,9,38,9,41,425,7,64
112,Kleve,5,North Rhine-Westphalia,225823,161873,71.681358,50.17266622599198,48.08275623482607,32.60457272058959,26.72033013535302,,4.523299129564535,5.695823268858921,6.088723876125111,2.6730833,1.9842716,3.2840559,3.8919399,1232,308,250,8,10,38,8,29,368,6,57
113,Wesel I,5,North Rhine-Westphalia,207485,153981,74.213074,42.97413317227451,38.9463635123814,38.77686208038654,34.58153928082036,4.888265435345919,5.903975165767205,4.863587065936707,6.35143296900267,2.3165195,2.0483046,2.9289329,3.6874681,883,264,300,8,9,38,9,37,421,6,72
114,Krefeld II - Wesel II,5,North Rhine-Westphalia,182593,131185,71.845581,39.51290162747265,36.44166634904905,40.84155962953081,34.19293364332813,5.331402218241415,6.514464306132561,5.250600297290086,7.230247360597629,2.3173382,2.0878911,,3.8762054,175,247,1412,7,10,37,10,37,393,8,92
115,Duisburg I,5,North Rhine-Westphalia,171223,121815,71.144066,31.58642203341132,29.64249066206953,45.78992734884866,38.7185486188072,7.225711119320281,7.778188236259902,5.013339900669048,6.847268398801461,3.2229199,2.3781965,,5.0987153,118,240,2028,8,11,36,10,36,382,12,135
116,Duisburg II,5,North Rhine-Westphalia,166103,105682,63.624378,29.00588558127212,26.17758937188925,42.35252928597112,42.32224976817244,8.440415586381787,8.66751196987188,5.082227815522038,5.086958990178082,2.7525973,2.3173294,4.0678639,5.0614104,114,246,2166,8,11,36,10,36,382,12,135
117,Oberhausen - Wesel III,5,North Rhine-Westphalia,208991,147679,70.662849,31.75062127993825,29.71444822892896,44.31368034723962,40.77898685662823,7.196012974085686,7.94425747736645,7.716736976821349,6.503294307247476,3.006521,2.4234996,,4.1610522,124,281,2258,8,11,37,10,38,365,10,112
118,Mülheim - Essen I,5,North Rhine-Westphalia,191475,140961,73.618484,35.10687353239548,33.5177815140358,41.67180993324395,37.79414164201446,5.436964834244933,6.362043402075751,6.259887486609772,6.978525975269756,2.1942239,2.0275111,3.8187869,4.5431004,115,273,2358,7,11,36,11,44,551,9,121
119,Essen II,5,North Rhine-Westphalia,167962,108599,64.656883,30.61077910477997,28.12180590981501,47.58515271779666,41.14586690485179,7.138187276125932,8.025856591681322,4.955846738920248,7.012955920404424,2.8066556,2.5165977,,4.1952505,67,214,3161,8,12,35,10,43,544,12,143
120,Essen III,5,North Rhine-Westphalia,195692,151040,77.18251,39.12936970338983,35.95736228813559,39.06779661016949,32.8561970338983,4.860301906779661,6.524761652542373,7.664194915254237,9.633209745762713,2.0981197,2.0438294,2.6582363,3.8479872,118,253,2146,8,12,35,10,43,544,12,143
121,Recklinghausen I,5,North Rhine-Westphalia,172167,122346,71.062401,33.82456312425416,33.42814640445948,44.54906576430778,39.29020973305216,6.056593595213575,6.738266882448139,5.049613391528943,6.306703938011868,2.4136465,2.1749792,3.2048452,4.4660225,165,221,1345,8,10,37,10,35,267,10,110
122,Recklinghausen II,5,North Rhine-Westphalia,191504,137426,71.761429,35.94952920117008,34.25989259674297,44.93181785106166,39.56893164321162,5.478584838385749,6.185874579773841,4.899364021364224,5.719441735916057,2.7702181,2.2848661,,3.997788,388,251,648,8,10,37,10,35,404,10,110
123,Gelsenkirchen,5,North Rhine-Westphalia,181476,118452,65.271439,28.24772903792254,27.33596731165366,49.78134603045959,43.48934589538379,6.004119812244622,7.496707527099584,3.604835714044508,5.414007361631716,2.2540777,2.1688111,3.718806,4.6879749,104,256,2445,8,11,36,10,36,384,13,170
124,Steinfurt I - Borken I,5,North Rhine-Westphalia,201091,147449,73.324516,51.44354997321108,49.37435994818548,31.50852159051604,27.85573316875665,3.719252080380335,4.354047840270195,5.058020061173694,6.060400545273281,2.2014391,1.8840413,2.2190723,2.7982557,977,274,279,9,11,36,8,30,507,4,48
125,Bottrop - Recklinghausen III,5,North Rhine-Westphalia,206061,148181,71.911232,36.0059656771111,34.43153980604801,45.15626159899042,39.68120069374616,5.282053704591007,6.176905271256099,3.561185307158138,5.3974531147718,2.4382343,2.0441217,3.7319224,4.0720472,307,267,870,8,10,37,10,35,268,9,105
126,Borken II,5,North Rhine-Westphalia,198648,151387,76.208672,56.82654389082285,53.07721270650716,26.84708726640993,25.35950907277375,2.981101415577295,3.59806324188999,6.307014472841129,6.03618540561607,1.9922451,1.6302589,1.8819318,2.6699784,995,259,261,9,11,37,8,27,461,4,43
127,Coesfeld - Steinfurt II,5,North Rhine-Westphalia,190611,149678,78.525375,55.56928873982816,49.70069081628562,26.53963842381646,25.43794011143922,3.293069121714614,4.120177982068173,6.912171461403814,8.072662649153516,1.9268029,1.7404027,2.0283542,2.8167131,1260,244,194,8,10,38,8,33,376,3,38
128,Steinfurt III,5,North Rhine-Westphalia,193909,146050,75.318832,47.50770284149264,42.95035946593632,36.14241698048614,33.08729887024992,3.788428620335502,4.631975350907223,5.795275590551181,7.518657993837727,1.6131462,1.7144814,1.7569326,2.7579596,1091,252,231,8,10,37,9,33,366,4,51
129,Münster,5,North Rhine-Westphalia,227762,180093,79.070694,38.50899257605793,37.55059885725709,35.14628553025381,26.97439656177642,4.23114724059236,6.248993575541525,10.97599573553664,15.05777570477476,1.9889723,2.2416196,2.0272858,2.9073868,303,293,963,11,16,34,8,50,952,5,69
130,Warendorf,5,North Rhine-Westphalia,210355,158085,75.151527,50.77774614922352,46.66097352690009,31.66397823955467,28.85093462377835,3.471550115444223,4.338172502134928,5.882911092133979,7.15121611791125,2.0008223,1.9755195,2.185533,2.8914824,1317,277,210,8,10,37,9,32,510,5,55
131,Gütersloh I,5,North Rhine-Westphalia,233596,168983,72.339851,49.63161974873212,45.78034476840865,33.15777326713338,28.382736724996,4.221134670351455,4.930673499701153,5.36681204618216,7.78066432718084,1.8546244,1.8167508,2.4724381,3.1281254,865,318,366,8,11,37,8,33,814,4,50
132,Bielefeld - Gütersloh II,5,North Rhine-Westphalia,247179,179625,72.670006,36.75490605427975,34.90494084899095,37.55824634655532,32.25107863604732,6.765762004175365,8.277800974251914,10.59206680584551,11.53013221990257,2.540849,2.3320808,2.4484344,3.3826027,293,335,1141,9,13,34,10,41,587,8,106
133,Herford - Minden-Lübbecke II,5,North Rhine-Westphalia,230975,163815,70.923264,40.21182431401276,38.91890242041327,40.67820407166621,34.5230900711168,5.314531636297042,5.743674266703294,5.011140615938711,7.506638586210054,2.8672588,2.0449898,,3.5601134,515,295,574,8,10,36,10,38,464,5,65
134,Minden-Lübbecke I,5,North Rhine-Westphalia,206505,145637,70.524681,45.58250993909515,40.60369274291561,39.95275925760624,34.01333452350708,4.080693779740038,4.884747694610573,4.066961005788365,7.228245569463803,2.579015,1.9864458,,3.549922,1087,263,243,8,10,36,10,39,577,5,71
135,Lippe I,5,North Rhine-Westphalia,172330,125708,72.946091,39.60209374105069,38.80103096063895,40.517707703567,34.67002895599325,4.125433544404493,5.066503325166258,5.624144843605817,7.257294682915965,2.2385211,1.9871448,2.5089891,3.7849619,759,221,291,8,10,35,11,32,464,7,78
136,Höxter - Lippe II,5,North Rhine-Westphalia,213488,155994,73.069214,49.28522891906099,45.20686693077939,30.872341243894,29.30048591612498,4.056566278190187,5.060451042988833,5.613677449132659,6.581022347013346,1.8295575,1.8289165,2.5667653,3.5546238,1687,272,162,8,10,35,10,35,382,6,61
137,Paderborn - Gütersloh III,5,North Rhine-Westphalia,247138,176149,71.275566,58.39772011195068,50.74908174329686,22.95159211803643,23.06570006074403,3.956309715070764,5.146211445991746,6.38890938921027,7.065041527343328,2.1572645,2.0902758,1.998876,3.5742469,1314,327,249,9,12,36,8,33,372,6,64
138,Hagen - Ennepe-Ruhr-Kreis I,5,North Rhine-Westphalia,212903,147183,69.131485,33.51541957970689,34.87359273829178,46.23088264269651,36.26777549037593,5.558386498440717,6.671966191747688,4.430538852992534,6.662454223653547,2.6708248,2.2162886,,4.3306632,323,285,886,8,10,35,10,40,590,9,105
139,Ennepe-Ruhr-Kreis II,5,North Rhine-Westphalia,181174,134749,74.375465,35.27298903887969,32.6740829245486,41.70494771760829,37.8080727871821,5.004118768970456,6.30654030827687,8.136609548122806,8.958136980608391,2.2285879,2.1899977,2.9632874,3.8427002,245,230,940,7,10,37,10,39,470,7,78
140,Bochum I,5,North Rhine-Westphalia,210904,154030,73.033226,34.96786340323313,30.1551645783289,43.40128546387068,38.15230799194962,6.70713497370642,7.80497305719665,6.701941180289555,9.52217100564825,2.9916251,2.533922,,3.7784848,103,282,2736,8,12,37,10,41,333,9,103
141,Herne - Bochum II,5,North Rhine-Westphalia,184009,126927,68.978691,29.78641266239649,27.69229557147021,47.75185736683291,43.23430003072632,7.48461714213682,8.006176778778352,5.667824812687608,6.519495458019177,2.9773018,2.4250159,,3.8990917,93,255,2725,8,11,37,10,38,297,11,118
142,Dortmund I,5,North Rhine-Westphalia,213946,149031,69.658234,30.4030705021103,28.65980903301998,44.9698384899786,37.69685501674148,5.928296797310627,7.819178560165335,7.409196744301521,10.61993813367689,2.53303,2.7363434,3.4811549,4.066268,126,284,2249,8,12,35,10,38,503,12,137
143,Dortmund II,5,North Rhine-Westphalia,206701,137503,66.522659,31.77239769314124,28.80228067751249,46.09935783219275,40.49584372704595,6.792579071002088,7.685650494898293,6.71112630269885,8.238365708384544,2.9352088,2.4159472,,4.051548,154,297,1922,8,12,35,10,38,503,12,137
144,Unna I,5,North Rhine-Westphalia,200068,148119,74.034325,35.39923980043073,31.59216575861301,46.1027957250589,40.52079746690161,5.231604318149595,6.161937361175811,5.564444804515288,7.809261472194655,2.3865945,2.1529987,,3.730109,347,265,766,8,10,37,10,38,388,9,93
145,Hamm - Unna II,5,North Rhine-Westphalia,238091,167338,70.283211,38.76644874445733,36.44360515842187,42.5330767667834,38.03439744708315,5.543869294481827,6.214368523586992,4.93014139047915,5.969953029198389,2.3485401,2.0706594,,3.3005056,421,325,772,8,11,36,9,33,375,9,107
146,Soest,5,North Rhine-Westphalia,232311,167911,72.278542,49.07004305852505,44.29727653340162,32.83108313332658,30.03912787131278,4.923441585125453,5.193822918093514,5.876922893675816,6.887577347523391,2.3798323,2.0308378,,3.4012065,1327,303,228,8,10,37,9,35,485,6,58
147,Hochsauerlandkreis,5,North Rhine-Westphalia,205948,151727,73.672478,55.33095625696151,49.12111885162167,29.44894448581993,27.71688624964575,4.059264336604559,4.649798651525437,4.157467029599214,4.719660970031702,2.1617775,1.9376907,,3.3876634,1960,264,135,8,10,36,10,29,444,5,52
148,Siegen-Wittgenstein,5,North Rhine-Westphalia,215751,156569,72.569305,45.24075647158761,41.07262612650014,36.09271311690054,31.65569173974414,4.401254399018963,5.6971686604628,4.986938666019455,6.346722531280139,1.7449176,1.7385306,3.029974,4.8879409,1132,280,248,9,11,36,9,40,726,5,53
149,Olpe - Märkischer Kreis I,5,North Rhine-Westphalia,210836,150469,71.36779,51.11418298785796,47.47622433856808,32.37278110441353,27.91405538682386,3.744957433092531,4.727219560175185,3.410669307299178,5.134612445088357,1.7904021,1.7997062,2.6124983,4.0878854,1160,285,246,8,11,37,9,33,653,5,58
150,Märkischer Kreis II,5,North Rhine-Westphalia,206189,145197,70.419373,41.16338491842118,41.0036020027962,41.19988705000792,31.90010812895584,4.770071006976728,5.828632822992211,3.09786014862566,5.489782846753032,2.1446724,2.2617548,3.24318,4.9050598,611,279,459,8,10,36,9,33,513,6,73
151,Nordsachsen,14,Saxony,168695,112071,66.434097,44.53069928884368,44.14433707203469,19.91237697531029,15.14218664953467,21.27490608632028,20.25144774294867,3.03289878737586,2.805364456460636,1.9175345,1.9103961,,6.0336752,2020,203,101,6,11,39,10,23,254,10,105
152,Leipzig I,14,Saxony,210456,138427,65.774796,39.4186105311825,36.46759663938393,21.31881786067747,18.2666676298699,23.06125250131839,21.03780331871673,5.55021780433008,6.838261321851951,2.9206729,3.1511195,,6.0638461,170,262,1512,9,17,33,10,34,363,10,133
153,Leipzig II,14,Saxony,219865,153935,70.01342,33.83051287881248,32.19085977847793,23.07142625133985,18.69490369311722,24.52333777243642,22.28343131841362,8.920648325591971,11.09234417124111,2.5426316,3.8308377,,5.0034103,126,276,2160,9,17,33,10,34,363,10,133
154,Leipzig-Land,14,Saxony,220400,151537,68.755447,50.33292199264866,45.10317612200321,15.53547978381517,14.96730171509268,21.02786778146591,19.60973227660571,3.236833248645545,3.232873819595214,2.1110356,1.9170235,,6.31001,1647,264,161,6,10,38,10,27,246,9,94
155,Meißen,14,Saxony,207261,145679,70.287704,52.62666547683605,44.3591732507774,12.41771291675533,12.37240782817016,17.35253536885893,18.35199308067738,3.306585025981782,3.927127451451478,2.4711866,2.2323053,,6.9982634,1452,250,173,6,11,37,11,27,276,9,91
156,Bautzen I,14,Saxony,223726,155255,69.395149,48.17493800521722,44.65878715661331,11.12234710637339,11.91716852919391,20.90238639657338,19.50983865253937,2.388972979936234,2.736787865125117,1.9548485,2.002512,,6.9633827,2220,269,122,6,11,37,11,30,232,9,91
157,Görlitz,14,Saxony,223614,152944,68.396431,48.51710429961293,43.2223558949681,14.86884088293755,12.3175802908254,19.32079715451407,19.20964536039335,3.298592949053248,3.297939114970185,2.5355685,2.1308453,,8.0624285,2106,271,129,6,10,36,12,23,211,12,118
158,Sächsische Schweiz - Osterzgebirge,14,Saxony,207752,147427,70.962975,49.27455622104499,45.22441615172254,10.47433645126062,10.76125811418533,18.70145902717955,16.85444321596451,2.87871285449748,3.498680702991989,1.8850007,2.0213394,,7.7441716,1653,250,151,6,11,36,11,26,225,8,86
159,Dresden I,14,Saxony,233382,173167,74.198952,41.88846604722609,39.37932747001449,14.62230101578245,15.2684980394648,24.5999526468669,18.77089745736775,6.022510062540784,7.805759757921544,3.0126987,3.5145264,,6.8223162,81,287,3514,10,17,31,9,36,438,8,95
160,Dresden II - Bautzen II,14,Saxony,235691,173489,73.608665,41.05562888713406,38.09578705278145,14.49659632599185,13.80087498342834,18.78389984379413,17.90257595582429,9.597150251600967,9.397713976102231,4.5195947,4.327652,,6.8765168,417,292,696,9,16,32,10,35,437,8,95
161,Mittelsachsen,14,Saxony,210677,145578,69.10009,50.97542211048373,44.62968305650579,15.16643998406353,13.09950679360893,19.97485883856077,20.28122381129017,3.148140515737268,3.230570553242935,2.150737,2.0896015,,6.180192,1672,254,153,6,11,36,12,29,365,8,80
162,Chemnitz,14,Saxony,201249,135876,67.516357,41.147075274515,38.54985427890135,20.68135653095469,17.33786687862463,23.54499690894639,22.82522299743884,4.76537431187259,5.275398157143277,2.0665901,2.427213,,5.9892845,220,243,1101,7,13,32,12,31,365,10,110
163,Chemnitzer Umland - Erzgebirgskreis II,14,Saxony,191550,134560,70.247978,48.42226516052319,44.54444114149821,15.24747324613555,14.25237812128418,21.39045778834721,19.64476813317479,3.62217598097503,3.182223543400713,2.1574018,1.8742568,,7.1611176,901,227,254,5,10,36,12,28,245,8,83
164,Erzgebirgskreis I,14,Saxony,232499,161718,69.556427,49.04710669189577,45.20090527956071,11.83727228879902,12.43770019416515,20.07939746966942,19.00901569398583,3.123338156544108,2.451180449918995,2.0177097,1.8600279,,7.4939094,1561,278,179,6,11,36,12,25,202,8,83
165,Zwickau,14,Saxony,217679,148305,68.130135,43.73217356124204,43.74228785273592,15.53083173190385,14.62256835575335,24.17113381207647,20.94400053942888,2.922355955631974,3.137453221401841,1.8502411,1.7457267,,5.9863119,754,259,345,6,11,36,12,32,325,8,84
166,Vogtlandkreis,14,Saxony,201934,138790,68.730377,47.36868650479141,43.56653937603574,20.29829238417754,15.76842712010952,19.24274083147201,19.89840766625838,2.550616038619497,3.292023921031775,1.9785287,1.8754953,,6.5530658,1411,240,171,6,10,36,12,29,271,8,82
167,Waldeck,6,Hesse,189728,138632,73.068817,39.99365225921865,35.3908188585608,39.82990940042703,34.92700098101448,5.231836805355185,5.306134225864159,6.12124184892377,7.842345201685037,2.2916787,1.6172312,,4.8863177,2166,237,109,7,9,36,11,25,453,4,46
168,Kassel,6,Hesse,224555,160695,71.561531,34.02346059304895,30.09490027692212,38.69317651451507,33.12610846634929,8.130931267307632,8.513021562587511,10.30461433149756,12.37375151684869,2.8775008,2.2247114,,4.9640622,357,297,831,9,12,35,10,31,633,8,85
169,Werra-Meißner - Hersfeld-Rotenburg,6,Hesse,180203,131446,72.943291,39.09285942516318,34.89798091992149,41.56079302527274,35.68994111650412,5.53611368927164,5.769669674238851,4.817948054714483,6.746496660225492,1.7368349,1.486542,,5.3984146,2121,224,106,7,10,36,11,25,407,5,56
170,Schwalm-Eder,6,Hesse,191354,141665,74.032944,38.23244979352698,34.41005188296333,40.90212826033247,35.33123919104931,4.863586630430946,5.253238273391451,5.565241944022871,7.410440122824974,1.956023,1.6277839,,5.2193556,2262,239,106,8,10,37,10,31,306,4,45
171,Marburg,6,Hesse,184686,130945,70.901421,38.7055634044828,35.88758639123296,42.75230058421474,32.64653098629196,5.151781282217725,6.659284432395281,5.800145099087403,10.2661422734736,1.9710566,1.6846768,,4.4736338,1262,249,198,10,12,37,8,33,488,4,47
172,Lahn-Dill,6,Hesse,210867,146943,69.685158,46.72968429935418,40.66883077111533,33.49121768304717,29.53934518827028,4.493579142932974,5.058424014754021,5.884594706791068,7.213681495545892,2.2219501,1.7237977,,5.6586566,1153,274,238,8,10,36,10,26,450,5,65
173,Gießen,6,Hesse,215246,156652,72.778122,43.14467737405204,37.70267854863009,34.48918622168884,28.91696243903685,4.980466256415495,6.33761458519521,7.140668488113781,9.421520312539897,2.5208743,2.0861528,,4.7519341,1343,281,209,10,13,36,9,34,343,6,65
174,Fulda,6,Hesse,209960,154025,73.359215,56.65508845966563,49.84775198831359,24.25060866742412,21.56662879402694,4.459665638695017,4.479792241519234,5.275117675701996,6.530108748579775,2.2009413,1.7627009,,5.6555753,2130,267,125,8,11,36,10,26,383,3,43
175,Main-Kinzig - Wetterau II - Schotten,6,Hesse,180491,131010,72.585335,47.25669796198764,39.92443324937028,31.34188229906114,26.95443095946874,5.143882146401038,5.29272574612625,5.2018929852683,7.41928097091825,2.8593237,2.0349591,,6.1812077,1539,232,151,8,10,38,9,31,301,4,53
176,Hochtaunus,6,Hesse,182026,139886,76.849464,47.74244742147177,42.04995496332728,27.47594469782537,24.19541626753213,3.918905394392576,4.545129605535936,7.194429749939236,9.071672647727436,1.5684201,1.6198905,5.5387959,6.7533565,812,246,302,7,10,38,9,38,533,4,45
177,Wetterau I,6,Hesse,175085,131480,75.094955,45.72406449650137,39.86842105263158,31.03513842409492,26.57210222087009,4.695771219957408,5.031183449954366,7.223151810161241,9.120018253726803,2.1775174,1.9280499,,5.7864313,745,235,314,7,10,38,9,41,314,4,47
178,Rheingau-Taunus - Limburg,6,Hesse,220668,165788,75.130058,50.96207204381498,44.39344222742297,28.44114169903732,24.56028180567954,3.800033778078028,4.397181943204574,5.500398098776751,8.417376408425218,1.7305233,1.739571,4.1697831,5.7115111,1171,292,249,7,10,38,9,34,328,4,48
179,Wiesbaden,6,Hesse,189698,132335,69.76088,42.66898401783353,37.92420750368383,34.23961914837344,27.23466958854423,4.607246760116372,5.794385461140288,7.393357766274984,11.43537235047418,1.6805834,1.9125704,3.9112856,4.9495597,203,280,1367,7,13,36,9,38,695,7,107
180,Hanau,6,Hesse,177413,128280,72.305862,42.81259744309323,38.06361085126287,35.22294979731836,27.79077019020892,5.51060180854381,5.94792641097599,5.625974430932335,8.71764889304646,2.326941,1.9870596,,5.7343311,346,251,721,7,11,37,8,28,534,4,55
181,Main-Taunus,6,Hesse,196605,155145,78.912033,51.14763608237455,42.9262947565181,26.37983821586258,22.01553385542557,4.096168100808921,4.129040574946019,8.026684714299526,9.705114570240744,2.403558,1.7873602,,6.7485256,270,273,1007,6,10,37,9,39,1053,4,40
182,Frankfurt am Main I,6,Hesse,195615,133575,68.284637,39.24911098633726,32.85270447314243,32.28448437207561,26.28186412128018,7.69605090772974,8.747145798240689,9.638779711772411,13.02489238255662,2.2953396,2.3335204,,5.2277746,85,346,4024,7,17,37,7,41,1724,7,99
183,Frankfurt am Main II,6,Hesse,219357,159914,72.901253,35.64666007979289,33.26663081406256,29.92483459859675,25.86390184724289,5.970083920107058,7.990544917893367,13.24712032717586,15.11124729542129,1.7872106,2.1424015,3.2236078,4.7957025,163,354,2140,7,17,37,7,41,1724,7,99
184,Groß-Gerau,6,Hesse,174002,127383,73.207779,40.89007167361422,35.63191320662883,36.85107117904273,29.65937369978726,6.001585768901658,6.039267406168798,7.459394110674109,10.30671282667232,3.6417732,2.346467,,5.4473515,453,259,567,8,12,37,8,31,527,5,77
185,Offenbach,6,Hesse,221650,158240,71.39183,44.19236602628918,37.85705257836198,30.32355915065723,25.40634479271992,5.990267947421638,6.449064711830131,7.929726996966632,10.4290950455005,2.3887765,2.292088,,5.6837716,241,353,1450,7,13,36,8,36,536,6,95
186,Darmstadt,6,Hesse,240017,180790,75.32383,35.06665191658831,34.11527186238177,36.40688091155484,27.88649814702141,5.03954864760219,6.563416118148127,11.45196083854196,13.91061452513966,2.7838929,3.0466287,3.7551856,5.07163,449,334,741,8,13,36,8,45,414,5,65
187,Odenwald,6,Hesse,234360,177273,75.641319,45.31034054819403,39.6061441956756,32.48436028047136,27.21903504763839,4.863120723404015,5.3358379448647,6.686861507392552,8.777422393709138,2.9778929,2.2755861,,5.5642991,1115,316,282,7,10,38,9,32,336,5,58
188,Bergstraße,6,Hesse,199685,148381,74.307533,47.26413759174019,41.33750278000552,31.06799388061814,26.8484509472237,3.861680403825288,4.734433653904476,5.541140712085779,8.43773798532157,1.8728813,1.9887991,4.1305828,5.4818339,719,263,365,7,10,38,9,37,387,4,51
189,Eichsfeld - Nordhausen - Unstrut-Hainich-Kreis I,16,Thuringia,196621,134013,68.158028,49.08777506659801,44.20018953385119,16.28647966988277,15.05973301097655,19.46900673815227,19.64137807526136,3.081044376291852,3.949616828218158,2.0162222,1.7655003,,5.2196426,1909,241,126,7,12,37,9,32,199,8,82
190,Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis II,16,Thuringia,192663,129904,67.425507,42.50831383175268,39.60001231678778,18.13954920556719,16.72850720532085,23.26333292277374,22.16021061707107,3.178501046926961,3.942141889395246,2.6558073,2.0646017,,4.855124,2126,230,108,6,11,38,10,30,270,7,71
191,Kyffhäuserkreis - Sömmerda - Weimarer Land I,16,Thuringia,191261,127906,66.875107,42.49214266727127,38.3867840445327,16.78498272168624,15.14002470564321,25.98705299204103,24.09660219223492,3.08664175253702,3.701155536096821,3.5580816,2.4009819,,5.6283522,2554,229,90,6,11,39,9,28,223,9,92
192,Gotha - Ilm-Kreis,16,Thuringia,205859,141461,68.717422,36.66098783410268,37.60471083902983,24.54810866599275,16.83502873583532,19.80404493111175,21.74309527007444,2.910342779988831,4.534111875357873,2.5844579,2.5208361,5.6998043,7.2875209,1778,248,140,7,11,37,10,32,278,8,85
193,Erfurt - Weimar - Weimarer Land II,16,Thuringia,224121,156367,69.769012,36.4475880460711,33.97328080733147,23.46658821874181,17.36875427679754,22.96968030338882,22.65247782460494,5.852257829337392,8.393714786367967,3.6260848,3.101038,,5.9654531,441,279,631,9,15,35,9,42,257,8,113
194,Gera - Jena - Saale-Holzland-Kreis,16,Thuringia,238320,168091,70.531639,35.53491858576604,34.32069533764449,18.03189938783159,15.6337935998953,26.56715707563165,25.20479978107097,4.677823321891118,6.802862735066125,2.354677,2.777662,5.4292021,6.5369353,1083,289,268,8,13,35,10,36,336,8,90
195,Greiz - Altenburger Land,16,Thuringia,170746,115990,67.931313,43.98051556168635,41.02077765324597,13.68480041382878,13.97792913182171,23.81843262350203,22.56487628243814,2.768342098456764,3.312354513320114,2.7648935,2.1225967,5.8556771,7.3480473,1412,201,144,5,10,38,12,30,197,10,93
196,Sonneberg - Saalfeld-Rudolstadt - Saale-Orla-Kreis,16,Thuringia,218597,147040,67.265335,40.22918933623504,37.30889553862895,19.39676278563656,15.64336235038085,25.78073993471164,24.36003808487486,3.858813928182808,3.701033732317736,,2.1973612,,6.6696138,2616,260,100,6,11,38,11,27,253,6,66
197,Suhl - Schmalkalden-Meiningen - Hildburghausen,16,Thuringia,196071,130631,66.624336,41.32173833163645,39.08719982240051,18.00414909171636,16.05132013074997,26.90555840497278,24.60901317451447,2.835467844539198,3.90795446716323,2.745137,1.9926357,,5.0194821,2250,232,103,6,11,38,10,26,220,6,56
198,Neuwied,7,Rhineland-Palatinate,240333,173536,72.206482,45.97605107873871,44.95032730960723,36.56474737230315,28.15899870920155,4.411188456573853,5.166075050709939,3.906394062327125,6.143393877927346,1.9696201,1.872234,,5.0473676,1268,310,245,8,10,36,10,25,351,5,55
199,Ahrweiler,7,Rhineland-Palatinate,195077,142594,73.096268,54.26525660266211,48.16471941315904,27.40017111519419,24.306773076006,4.362736160006732,4.606785699258033,5.479192672903488,6.512896755824229,2.9839966,2.0477719,,5.1390662,1337,244,183,8,10,37,10,32,359,4,46
200,Koblenz,7,Rhineland-Palatinate,198113,142888,72.124496,46.92206483399586,44.38931190862774,30.15928559431163,26.74892223279772,4.829656794132467,5.149487710654499,7.827109344381614,7.595459380773753,2.7665024,2.1506355,,4.6364985,635,251,392,8,12,35,10,37,606,5,63
201,Mosel/Rhein-Hunsrück,7,Rhineland-Palatinate,175441,129262,73.678329,52.34175550432455,48.5084556946357,27.18973867029754,24.13857127384691,4.368646624684748,4.749268926676054,3.93232349801179,5.614178954371741,2.0160604,1.8195603,,4.1179929,2287,217,95,7,10,36,11,25,349,4,32
202,Kreuznach,7,Rhineland-Palatinate,187473,132299,70.569626,40.30567124468061,40.31398574441228,36.67525831638939,30.7696959160689,5.055215836854398,5.657639135594374,4.333366087423186,6.213954754004187,2.2645674,1.8095375,,4.671237,1640,236,145,7,10,36,10,33,312,6,66
203,Bitburg,7,Rhineland-Palatinate,166313,119298,71.73101,54.69664202249827,51.29339972170531,25.66094989019095,21.95258931415447,3.241462555952321,4.303508860165301,4.840818789921038,6.005968247581686,1.7334741,1.8097538,,3.5742426,3100,210,67,8,10,36,10,30,342,3,30
204,Trier,7,Rhineland-Palatinate,193803,141134,72.823433,47.67171624130259,43.15685802145479,30.38176484759165,25.79817761843354,5.446596851219408,6.155851885442204,6.770161690308502,9.32234613913019,2.7371151,2.4855812,,4.0642228,1218,248,204,9,13,36,9,35,312,4,38
205,Montabaur,7,Rhineland-Palatinate,211010,155100,73.503624,48.28304319793681,44.56415215989684,30.36557059961315,27.40167633784655,4.653127014829143,4.980012894906512,5.811734364925854,6.219213410702772,2.3900709,2.0012896,,5.0490007,1508,268,178,8,10,37,9,24,377,3,39
206,Mainz,7,Rhineland-Palatinate,256317,196076,76.497459,39.41583875640057,37.94039046084172,34.2566147820233,26.3234664109835,4.263142862971501,5.432587364083314,9.863012301352537,12.92305024582305,2.6336727,2.4475203,,4.4957056,523,346,658,9,14,36,8,46,703,5,58
